orig_idx,combined_lower,has_unilateral,has_bilateral
35,"alpha galactosidase (fabry) [sep] enzyme replacement therapy, alpha-galactosidase enzyme, fabry disease treatment, fabry enzyme supplement, genetic enzyme therapy, alpha-gal enzyme injection, fabry-specific enzyme, inherited enzyme deficiency, enzyme replacement for fabry, enzyme therapy for rare genetic disorder, alpha-galactosidase medication, fabry disease enzyme supplement [sep] agal, ert, fabry enzyme, fabry ert, α-gal, α-gal a, fabry enzyme inj, genetic enzyme therapy, enzyme replacement, fabry med, enzyme therapy fabry",0,0
36,"aluminium serum [sep] metal blood test, aluminum blood level, serum aluminum measurement, aluminum in blood, trace aluminum test, blood chemical test, metal poisoning screening, aluminum toxicity test, blood metal panel, aluminum serum analysis, aluminum blood concentration, serum metal levels [sep] al serum, al blood test, serum al, al lvl, al conc, serum metal panel, aluminum tox test, al serum assay",0,0
37,"amino acids qualitative csf [sep] protein content analysis of cerebrospinal fluid, csf amino acid testing, spinal fluid amino acid profile, qualitative amino acid assessment in spinal fluid, csf nutrient testing, amino acid levels in brain fluid, cerebrospinal fluid amino acid evaluation, csf chemistry for amino acids, spinal fluid analysis for amino acids, brain fluid amino acid testing, amino acid screening in csf, csf amino acid profile test [sep] csf aa quals, csf amino acids",0,0
38,"aml fish for pml-rara t(15:17)(q2:;q21) [sep] acute myeloid leukemia genetic test, aml fish assay for pml-rara gene fusion, leukemia chromosome rearrangement analysis, blood cancer fish test, pediatric leukemia genetic screening, blood disorder cytogenetic analysis, chromosomal translocation fish, aml genetic mutation detection, clotting disorder genetic testing, blood cancer molecular diagnosis, fluorescence in situ hybridization for leukemia, blood cell abnormality genetic test [sep] aml fish, aml fish pml-rara, aml chrm fish, leukemia fish, aml cytogenetics, aml translocation test, fish pml-rara, blood cancer fish, leukemia molecular fish, cytogenetic aml, fish leukemia",0,0
39,"ammonia [sep] ammonia, nitrogen waste, blood toxin, toxic substance, ammonia poisoning, liver detoxification product, nitrogen byproduct, breath odor issue, ammonia levels, ammonia test, nitrogenous waste, hazardous gas [sep] nh3, ammonia level, blood ammonia, serum ammonia, ammonia test, ammonia tox, nitrogen waste, blood toxin, liver detox, n waste, urine ammonia",0,0
40,"amylase - serum [sep] amylase blood test, serum amylase measurement, blood enzyme test for amylase, pancreatic enzyme blood level, blood sugar enzyme test, amylase in bloodstream, enzyme blood screening, blood test for pancreatic function, amylase serum levels, blood amylase assay, blood amylase check, blood enzyme profile [sep] amy, amy-s, amy-b, amy-bld, amy-fn, amy-ser, amy-enz, amy-level, amy-serum, amy-blood",0,0
41,"androstenedione [sep] testosterone precursor, hormone building block, adrenal hormone, male hormone booster, androgen pathway component, steroid hormone precursor, supplement ingredient, athletic performance supplement, lab test for androstenedione, natural steroid precursor, adrenal function marker, steroid hormone marker [sep] a4, ad, androst, adio, adh, ahb, ap, laba4, natas, adp, star, amp",0,0
42,"?anticentomere antibody [sep] anticentomere antibody, immune response against anticentomere, antitentomere immune marker, antibody to anticentomeres, antitentomere autoantibody, antibody targeting antitentomeres, lab test for antitentomere antibodies, autoimmune marker for antitentomeres [sep] acea, anti-centr-antib, anti-centomere ab, antigentomere ig, anti-centr autoab, antitentomere ab, anti-centr autoantibody",0,0
43,"anti histone [sep] autoantibody against histones, histone antibody test, anti-histone autoantibodies, immune response to histones, histone protein antibody, histone immune marker, antibody targeting histones, histone-specific antibody, histone antibody blood test, autoimmune histone antibody, histone protein immune marker, histone-targeted immune response [sep] ah, anti-histone ab, histone ab, histone autoab, h-abs, h histone ab, anti-histone test, histone autoab test",0,0
44,"anti mog [sep] anti-mog antibody testing, mog antibody assay, myelin oligodendrocyte glycoprotein antibody test, mog antibody blood test, brain inflammation test for mog, mog autoimmune marker, mog-related demyelination test, pediatric mog antibody screening, mog antibody detection, multiple sclerosis mog test, mog antibody bloodwork, mog antibody screening for adults [sep] mog ab, anti-mog, mog igg, mog ab test, mog assay, mog serology, mog blood test",0,0
45,"anti mullerian hormone(amh) [sep] anti-müllerian hormone testing, amh blood test, ovarian reserve marker, hormone level assessment, female fertility hormone, amh measurement, reproductive hormone test, hormone indicator for menopause, hormone testing for fertility, ovarian function test, amh levels in women, fertility hormone check [sep] amh, anti-müllerianhormone, amh test, amh lvl, amh assay, fsh/ferthorm, ovarian reserve test, ovarian marker, fertility hormone, amh blood, amh measurement",0,0
46,"anti tg antibodies (anti thyroglobulin antibody)-eclia [sep] thyroid antibody test, anti-tg blood test, anti-thyroglobulin antibody assay, thyroid autoantibody screening, autoimmune thyroid marker, thyroid disease diagnosis, antibody test for thyroid cancer, blood test for thyroid antibodies, anti-thyroglobulin antibody eclia, thyroid function antibody check, immune response to thyroid, thyroid autoimmune panel [sep] anti-tg ab, tgab, anti-tg eclia, tga, thyroglobulin ab, t-ab",0,0
47,"anti thyroglobulin antibody [sep] thyroglobulin antibody test, anti-thyroglobulin antibody blood test, autoimmune thyroid screening, thyroid immunity check, tga level measurement, thyroglobulin antibody detection, thyroid autoimmune marker, blood test for thyroid antibodies, immunological thyroid assessment, thyroid function antibody test, tga antibody assay, thyroid disease screening [sep] tga, tgab, anti-tg ab, anti-thyroglobulin ab, t-abs, atgab",0,0
48,"apolipo protein a1 [sep] apolipo protein a1, apoa1, apolipoprotein a1, hdl protein component, good cholesterol carrier, blood fat transporter, lipid metabolism protein, heart health marker, cardiovascular risk indicator, protein in high-density lipoprotein, ""good cholesterol"" protein, apoa1 blood test [sep] apoa1, hdl protein, apoa1 test, ap0a1, hdl-c, hdl protein component, apolipoa1",0,0
49,"arsenic ( blood ) [sep] arsenic in blood, blood arsenic levels, arsenic poisoning test, blood arsenic measurement, arsenic blood screening, trace arsenic in blood, blood test for arsenic, arsenic toxicity bloodwork, blood arsenic exposure, arsenic blood concentration, arsenic blood analysis, arsenic blood detection [sep] blood as, blood arsenic, as in blood, blood as measurement, blood arsenic level, blood arsenic test, arsenic blood screen, blood arsenic analysis, arsenic tox blood, blood arsenic exposure, blood arsenic conc, blood as assay",0,0
50,"arsenic ( urine ) [sep] arsenic level test, urine arsenic measurement, arsenic in urine, arsenic screening, heavy metal urine test, urinary arsenic analysis, arsenic poisoning test, detoxification assessment, trace element urine test, arsenic exposure marker, urine metal panel, arsenic urine analysis [sep] u-as, as urine, ua, urinary arsenic, uar, ar in urine, ar test, heavy metal urine, trace element urine, ar exposure marker, urine metal panel, urine arsenic analysis",0,0
51,"ascitic fluid - ldh [sep] liver fluid analysis, abdominal fluid testing, ascitic fluid lactate dehydrogenase, belly fluid lab, abdominal swelling fluid study, fluid from stomach cavity test, fluid enzyme level check, peritoneal fluid evaluation, fluid measurement for liver disease, ascitic fluid health assessment, intra-abdominal fluid analysis, hospital ascites test [sep] ascitic ldh, af ldh, peritoneal ldh, ascitic fluid ldh, abdominal fluid ldh, belly fluid ldh, af lactate dehydrogenase",0,0
52,"bence jones protein qualitative (thermal methods) [sep] bence jones protein test, urine light chain analysis, protein detection in urine, qualitative kidney protein screening, thermal method protein test, bence jones light chains, urine protein assessment, heat-based protein analysis, kidney disease marker, abnormal protein in urine, light chain protein test, diagnostic urine analysis [sep] bj protein qual, bence jones test, urine lc analysis, urine protein test, qualitative kidney protein, thermal protein test, urine protein abs, heat-based protein test, kidney marker test, abnormal urine protein, light chain assay, urine dsa",0,0
53,"beta 2 glycoprotein igg [sep] pregnancy immune test, beta-2 glycoprotein igg blood test, autoimmune antibody screening, blood test for antiphospholipid syndrome, clot risk marker, layered protein antibody test, lupus anticoagulant test, immunoglobulin g antibody to beta-2 glycoprotein, blood marker for blood clots, antiphospholipid antibody test, thrombosis risk screening, autoimmune disease test [sep] beta-2-gp igg, b2g igg, pg igg, anti-phospholipid igg, aps screen, lupus anticoag, clot risk test, apc ab, immunoglobulin g beta-2-gp, antiphospholipid ab, thrombosis marker, autoimmune panel, blood clot risk",0,1
54,"beta 2 glycoprotein igm [sep] pregnancy immune test, beta-2 glycoprotein igm blood test, autoimmune antibody screening, cardiac risk blood marker, blood test for antiphospholipid syndrome, clotting disorder antibody assay, ""beta 2"" protein antibody test, blood marker for blood clots, testing for autoimmune antibodies, clot risk screening, igm antibody for blood clots, pregnancy-related autoimmune test [sep] beta-2gpi igm, b2gpi igm, beta-2 gpi igm, anti-phos igm, apl igm, clotting ab igm, aps igm, blood clot igm, autoimmune ab igm",0,1
55,"beta 2 microglobulin [sep] kidney function marker, b2m test, beta-2 microglobulin level, blood protein analysis, immune system indicator, kidney disease marker, microglobulin blood test, protein fragment measurement, renal filtration marker, immune response marker, lab test for kidney health, chronic kidney disease indicator [sep] b2m, beta-2 microglobulin, b2m test, microglobulin test, microglobulin blood, beta-2 ig, microglobulin serum, kidney function marker, ckd marker, kidney test, microglobulin level",0,1
56,"beta-d-glucan [sep] beta-glucan supplement, immune-boosting fiber, blood sugar support, fungal cell wall component, natural immune enhancer, dietary fiber for immunity, immune system support, oat extract supplement, plant-based carbohydrate, health supplement for infection defense, immune health boost, soluble fiber for immune defense [sep] bdg, beta-glucan, bg, immune fiber, immuno-support, fungal cell wall, beta-glucan supplement, imm support, soluble fiber, oat extract, immune enhancer, plant carbohydrate",0,0
57,"bicarbonate - serum [sep] bicarbonate blood level, serum bicarbonate test, blood co2 measurement, blood ph buffer, chemical test for blood bicarbonate, bicarbonate ion concentration, blood electrolytes panel, metabolic acid-base balance, arterial blood gas bicarbonate, blood bicarbonate indicator, serum alkaline buffer, bicarbonate level in blood [sep] serum hco3, serum bicarbonate, sbic, bic, blood co2, abg hco3, blood buffer, electrolyte panel, metabolic panel, blood ph buffer",0,0
58,"bile-acids [sep] bile acid therapy, gallbladder fluid compounds, digestive tract acids, fat digestion substances, gut bile salts, liver-produced acids, bile component, intestinal bile acids, medical term for bile acids, bile salt medications, bile acid supplement, bile-related chemicals [sep] ba, bas, bile acids, bile salts, ba therapy, bile acid med, bile supplement, bile-related chemicals",0,0
59,"bilirubin total/direct [sep] liver function test, total bilirubin, direct bilirubin, blood bilirubin levels, bilirubin blood test, liver enzyme panel, conjugated bilirubin measurement, jaundice screening test, blood chemistry bilirubin, bilirubin levels in blood, bilirubin in blood sample, liver health assessment [sep] tb, db, tbil, bil, bil blood, liver bil, conj bil, jaundice test, liver function panel, liver panel, blood bilirubin, serum bilirubin, liver health test",0,0
60,"biotinidase newborn screen [sep] newborn biotinidase screening, baby biotinidase test, newborn metabolic screening, infant enzyme assay, early biotinase detection, newborn metabolic panel, baby enzyme deficiency test, newborn screening for biotinidase, infant blood test for biotinase, baby metabolic health check, neonatal enzyme screening, newborn health screening for enzyme deficiency [sep] bnbs, nb biotinidase screen, nb biotinase, nb metabolic screen, nb enzyme assay, neonatal enzyme test, infant biotinase test, nb enzyme deficiency, nb health screen, nb metabolic panel",0,0
61,"bismuth ( urine ) [sep] bismuth in urine, urinary bismuth, bismuth excretion, bismuth metabolites in urine, bismuth test, bismuth presence in urine, bismuth elimination, bismuth urinary levels, bismuth renal clearance, bismuth in pee, bismuth urine analysis, bismuth toxin in urine [sep] bi in urine, bismuth ur, bismuth excretion, bi urine levels, bi renal clearance, bismuth urine test",0,0
62,"blood gas analysis [sep] arterial blood gas test, abg analysis, blood oxygen and carbon dioxide measurement, arterial blood chemistry, blood gas panel, pulse oximetry and blood gases, blood ph test, respiratory function assessment, blood gas interpretation, acid-base balance test, oxygen and co2 levels check, arterial blood sample analysis [sep] abg, blood gas, abg panel, arterial blood gases, blood ph, blood o2/co2, blood chemistry, blood gas analysis, pulse oximetry, acid-base, arterial sample, blood gas test",0,0
63,"blood gas analysis with electrolytes [sep] arterial blood gas test, abg analysis, blood ph and gases check, electrolyte and blood gas panel, arterial oxygen and carbon dioxide test, blood chemistry with electrolytes, abg with electrolyte measurement, blood gas and electrolyte assessment, arterial blood sample testing, breathing and mineral balance test, blood gas and electrolyte panel, lung function and electrolyte test [sep] abg w/ electrolytes, blood gas+electrolytes, abg with electrolytes, arterial blood gases, abg electrolyte panel, abg+electrolytes test, blood gas/ electrolytes",0,0
64,"blood - metanephrine [sep] blood test for metanephrines, catecholamine metabolite assessment, adrenal hormone screening, urine/metanephrine measurement, blood levels of metanephrine, adrenal gland test, sympathetic nervous system marker, plasma metanephrine test, chemical marker for pheochromocytoma, stress hormone monitoring, catecholamine breakdown products, adrenal tumor screening [sep] plasma metanephrine, bm metanephrine, metanephrines, mne, plasma mn, adrenal hormone test, catech metabolite, pheo screen",0,0
65,"blood myoglobin [sep] blood protein test, muscle breakdown marker, myoglobin blood level, muscle damage indicator, muscle protein in blood, blood chemical test, blood test for muscle injury, muscle enzyme measurement, blood myoglobin assay, myoglobin level check, protein called myoglobin, muscle protein in bloodstream [sep] mb, myo, mb level, myoglobin test, blood myo, serum myoglobin, mb assay, mb level check, mb in blood",0,0
